Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,%NA_Sales,%EU_Sales,%JP_Sales,%Other_Sales,Cluster,pca1,pca2
259,Asteroids,2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31,1980,0.9280742459396752,0.06032482598607889,0.0,0.011600928074245941,0,-0.4408634887403303,-0.3443112024529486
545,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0.0,0.03,2.76,1980,0.9275362318840581,0.061594202898550734,0.0,0.010869565217391304,0,-0.44071929998334264,-0.34309555405558734
1768,Kaboom!,2600,1980,Misc,Activision Blizzard,1.07,0.07,0.0,0.01,1.15,1980,0.9304347826086958,0.060869565217391314,0.0,0.008695652173913044,0,-0.4421886324252152,-0.3455309572662409
1971,Defender,2600,1980,Misc,Atari,0.99,0.05,0.0,0.01,1.05,1980,0.9428571428571428,0.047619047619047616,0.0,0.009523809523809523,0,-0.4473367086836643,-0.36279443045946247
2671,Boxing,2600,1980,Fighting,Activision Blizzard,0.72,0.04,0.0,0.01,0.77,1980,0.935064935064935,0.051948051948051945,0.0,0.012987012987012986,0,-0.4436563631051157,-0.35464527989126
4027,Ice Hockey,2600,1980,Sports,Activision Blizzard,0.46,0.03,0.0,0.01,0.49,1980,0.9387755102040817,0.061224489795918366,0.0,0.020408163265306124,0,-0.4476741418733822,-0.34907335158050956
5368,Freeway,2600,1980,Action,Activision Blizzard,0.32,0.02,0.0,0.0,0.34,1980,0.9411764705882353,0.058823529411764705,0.0,0.0,0,-0.4477062255151467,-0.35412606301779115
6319,Bridge,2600,1980,Misc,Activision Blizzard,0.25,0.02,0.0,0.0,0.27,1980,0.9259259259259258,0.07407407407407407,0.0,0.0,0,-0.4412709360610488,-0.33361632505540456
6898,Checkers,2600,1980,Misc,Atari,0.22,0.01,0.0,0.0,0.24,1980,0.9166666666666667,0.04166666666666667,0.0,0.0,0,-0.4306414492596468,-0.35292300479070515
240,Pitfall!,2600,1981,Platform,Activision Blizzard,4.21,0.24,0.0,0.05,4.5,1980,0.9355555555555556,0.05333333333333333,0.0,0.011111111111111112,0,-0.4440758643593324,-0.3540428886365357
736,Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2,1980,0.9363636363636363,0.054545454545454536,0.0,0.00909090909090909,0,-0.44464566882129297,-0.35377034219936926
768,Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13,1980,0.9342723004694836,0.056338028169014086,0.0,0.009389671361502348,0,-0.4437293462291916,-0.3511588259049404
866,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0.0,0.02,1.97,1980,0.934010152284264,0.05583756345177665,0.0,0.010152284263959392,0,-0.4435323500981065,-0.35131940050127464
1108,Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0.0,0.02,1.65,1980,0.9333333333333335,0.060606060606060615,0.0,0.012121212121212123,0,-0.4440015377997705,-0.3471144810022058
1155,River Raid,2600,1981,Shooter,Activision Blizzard,1.49,0.09,0.0,0.02,1.6,1980,0.9312499999999999,0.056249999999999994,0.0,0.012499999999999999,0,-0.44210173208132497,-0.34918706624526463
1308,Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0.0,0.02,1.46,1980,0.9315068493150686,0.05479452054794521,0.0,0.013698630136986302,0,-0.4420743525209212,-0.3503389909920806
1431,Centipede,2600,1981,Shooter,Atari,1.26,0.08,0.0,0.01,1.36,1980,0.926470588235294,0.058823529411764705,0.0,0.007352941176470588,0,-0.43948164222302377,-0.34490078708596156
1558,Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27,1980,0.9291338582677164,0.06299212598425197,0.0,0.007874015748031496,0,-0.441732742372629,-0.3432285661056199
1850,Megamania,2600,1981,Shooter,Activision Blizzard,1.03,0.06,0.0,0.01,1.1,1980,0.9363636363636363,0.054545454545454536,0.0,0.00909090909090909,0,-0.44464566882129297,-0.35377034219936926
1967,Cosmic Ark,2600,1981,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05,1980,0.9428571428571428,0.047619047619047616,0.0,0.009523809523809523,0,-0.4473367086836643,-0.36279443045946247
2145,Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0.0,0.01,0.97,1980,0.9278350515463918,0.051546391752577324,0.0,0.010309278350515464,0,-0.4392455929511213,-0.3509783346123589
2234,Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93,1980,0.9354838709677419,0.053763440860215055,0.0,0.01075268817204301,0,-0.44408621222134126,-0.35370531796374377
2518,Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0.0,0.01,0.82,1980,0.926829268292683,0.06097560975609757,0.0,0.012195121951219513,0,-0.440270842898188,-0.3430366950648059
2598,Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79,1980,0.9367088607594937,0.05063291139240506,0.0,0.012658227848101266,0,-0.44438729204591443,-0.3566348943826529
2666,Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77,1980,0.935064935064935,0.051948051948051945,0.0,0.012987012987012986,0,-0.4436563631051157,-0.35464527989126
2808,Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0.0,0.01,0.73,1980,0.9315068493150686,0.05479452054794521,0.0,0.013698630136986302,0,-0.4420743525209212,-0.3503389909920806
2942,King Kong,2600,1981,Action,Tigervision,0.65,0.04,0.0,0.01,0.69,1980,0.9420289855072465,0.05797101449275363,0.0,0.014492753623188408,0,-0.44876265151236555,-0.3539774268934966
3046,Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,1980,0.9402985074626865,0.04477611940298507,0.0,0.014925373134328358,0,-0.4456452316298967,-0.3629878932303512
3405,BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59,1980,0.9322033898305085,0.05084745762711865,0.0,0.01694915254237288,0,-0.4420001028655891,-0.35346285471225897
3410,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0.0,0.01,0.59,1980,0.9322033898305085,0.05084745762711865,0.0,0.01694915254237288,0,-0.4420001028655891,-0.35346285471225897
4017,Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0.0,0.01,0.5,1980,0.92,0.06,0.0,0.02,0,-0.43650507125339516,-0.3391038591462348
4141,Grand Prix,2600,1981,Racing,Activision Blizzard,0.45,0.03,0.0,0.0,0.48,1980,0.9375000000000001,0.0625,0.0,0.0,0,-0.4461548610931768,-0.349181751187573
4348,Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0.0,0.0,0.45,1980,0.9333333333333332,0.044444444444444446,0.0,0.0,0,-0.44081139646790407,-0.36051634212187755
4404,Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0.0,0.0,0.45,1980,0.9333333333333332,0.06666666666666667,0.0,0.0,0,-0.4443966480816106,-0.3435781977799922
4519,Barnstorming,2600,1981,Action,Activision Blizzard,0.4,0.02,0.0,0.0,0.43,1980,0.930232558139535,0.046511627906976744,0.0,0.0,0,-0.4393362029888918,-0.357134076532138
4786,Mouse Trap,2600,1981,Action,Coleco,0.38,0.02,0.0,0.0,0.4,1980,0.95,0.049999999999999996,0.0,0.0,0,-0.4514295001278747,-0.3659924114103148
4910,Laser Blast,2600,1981,Action,Activision Blizzard,0.37,0.02,0.0,0.0,0.39,1980,0.9487179487179487,0.05128205128205128,0.0,0.0,0,-0.4508885115089312,-0.36426824113105927
4969,Airlock,2600,1981,Action,Data Age,0.36,0.02,0.0,0.0,0.39,1980,0.923076923076923,0.05128205128205128,0.0,0.0,0,-0.4359319103450174,-0.34932884824812316
5129,Dragonfire,2600,1981,Action,Imagic,0.35,0.02,0.0,0.0,0.37,1980,0.9459459459459459,0.05405405405405406,0.0,0.0,0,-0.4497188063868915,-0.3605403053921283
5248,Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36,1980,0.9166666666666667,0.05555555555555556,0.0,0.0,0,-0.4328822315182135,-0.3423366645770267
